Id Linha Base,Timestamp,Sensor Comodo,Comodo,Id Atividade,Atividade
1,2019-04-14 13:28,15,Sala,6,Pres sala
1,2019-04-14 13:28,16,Cozinha,5,Pres cozinha
1,2019-04-14 13:28,17,Lavanderia,11,Lavar roupa
1,2019-04-14 13:28,18,Garagem,3,Entrada
1,2019-04-14 13:28,18,Garagem,4,Saida
1,2019-04-14 13:28,18,Garagem,16,Pres garagem
1,2019-04-14 13:28,23,Quarto 3,14,Pres quarto 3
4,2019-04-14 13:34,15,Sala,6,Pres sala
4,2019-04-14 13:34,16,Cozinha,5,Pres cozinha
6,2019-04-14 13:44,15,Sala,6,Pres sala
6,2019-04-14 13:44,16,Cozinha,5,Pres cozinha
6,2019-04-14 13:44,17,Lavanderia,11,Lavar roupa
6,2019-04-14 13:44,23,Quarto 3,14,Pres quarto 3
16,2019-04-14 14:05,15,Sala,6,Pres sala
16,2019-04-14 14:05,16,Cozinha,5,Pres cozinha
16,2019-04-14 14:05,18,Garagem,3,Entrada
16,2019-04-14 14:05,18,Garagem,4,Saida
16,2019-04-14 14:05,18,Garagem,16,Pres garagem
22,2019-04-14 14:17,18,Garagem,3,Entrada
22,2019-04-14 14:17,18,Garagem,4,Saida
22,2019-04-14 14:17,18,Garagem,16,Pres garagem
24,2019-04-14 14:21,15,Sala,6,Pres sala
24,2019-04-14 14:21,16,Cozinha,5,Pres cozinha
27,2019-04-14 14:28,18,Garagem,3,Entrada
27,2019-04-14 14:28,18,Garagem,4,Saida
27,2019-04-14 14:28,18,Garagem,16,Pres garagem
33,2019-04-14 14:40,15,Sala,6,Pres sala
33,2019-04-14 14:40,18,Garagem,3,Entrada
33,2019-04-14 14:40,18,Garagem,4,Saida
33,2019-04-14 14:40,18,Garagem,16,Pres garagem
34,2019-04-14 14:42,16,Cozinha,5,Pres cozinha
34,2019-04-14 14:42,17,Lavanderia,11,Lavar roupa
39,2019-04-14 14:53,22,Corredor,15,Pres corredor
39,2019-04-14 14:53,23,Quarto 3,14,Pres quarto 3
40,2019-04-14 14:55,18,Garagem,3,Entrada
40,2019-04-14 14:55,18,Garagem,4,Saida
40,2019-04-14 14:55,18,Garagem,16,Pres garagem
41,2019-04-14 14:57,15,Sala,6,Pres sala
42,2019-04-14 14:59,16,Cozinha,10,Cozinhar
42,2019-04-14 14:59,17,Lavanderia,11,Lavar roupa
46,2019-04-14 15:08,15,Sala,6,Pres sala
47,2019-04-14 15:10,23,Quarto 3,14,Pres quarto 3
50,2019-04-14 15:16,16,Cozinha,10,Cozinhar
51,2019-04-14 15:18,17,Lavanderia,11,Lavar roupa
51,2019-04-14 15:18,22,Corredor,15,Pres corredor
54,2019-04-14 15:33,15,Sala,6,Pres sala
54,2019-04-14 15:33,16,Cozinha,10,Cozinhar
54,2019-04-14 15:33,17,Lavanderia,11,Lavar roupa
54,2019-04-14 15:33,18,Garagem,3,Entrada
54,2019-04-14 15:33,18,Garagem,4,Saida
54,2019-04-14 15:33,18,Garagem,16,Pres garagem
54,2019-04-14 15:33,22,Corredor,15,Pres corredor
54,2019-04-14 15:33,23,Quarto 3,14,Pres quarto 3
58,2019-04-14 15:40,15,Sala,6,Pres sala
58,2019-04-14 15:40,16,Cozinha,10,Cozinhar
58,2019-04-14 15:40,18,Garagem,3,Entrada
58,2019-04-14 15:40,18,Garagem,4,Saida
58,2019-04-14 15:40,18,Garagem,16,Pres garagem
58,2019-04-14 15:40,23,Quarto 3,14,Pres quarto 3
64,2019-04-14 15:52,15,Sala,6,Pres sala
64,2019-04-14 15:52,22,Corredor,15,Pres corredor
66,2019-04-14 15:56,16,Cozinha,5,Pres cozinha
70,2019-04-14 16:11,15,Sala,7,Assistir TV
75,2019-04-14 16:21,15,Sala,7,Assistir TV
79,2019-04-14 16:30,18,Garagem,3,Entrada
79,2019-04-14 16:30,18,Garagem,4,Saida
79,2019-04-14 16:30,18,Garagem,16,Pres garagem
82,2019-04-14 16:36,18,Garagem,3,Entrada
82,2019-04-14 16:36,18,Garagem,4,Saida
82,2019-04-14 16:36,18,Garagem,16,Pres garagem
83,2019-04-14 16:38,15,Sala,7,Assistir TV
85,2019-04-14 16:51,15,Sala,7,Assistir TV
85,2019-04-14 16:51,16,Cozinha,5,Pres cozinha
87,2019-04-14 16:55,17,Lavanderia,12,Pres lavanderia
88,2019-04-14 16:57,22,Corredor,15,Pres corredor
89,2019-04-14 16:59,15,Sala,7,Assistir TV
89,2019-04-14 16:59,16,Cozinha,5,Pres cozinha
90,2019-04-14 17:01,20,Quarto 2,13,Pres quarto 2
93,2019-04-14 17:08,18,Garagem,3,Entrada
93,2019-04-14 17:08,18,Garagem,4,Saida
93,2019-04-14 17:08,18,Garagem,16,Pres garagem
94,2019-04-14 17:10,17,Lavanderia,12,Pres lavanderia
96,2019-04-14 17:14,13,Banho,9,Banho aceso
96,2019-04-14 17:14,22,Corredor,15,Pres corredor
99,2019-04-14 17:20,18,Garagem,3,Entrada
99,2019-04-14 17:20,18,Garagem,4,Saida
99,2019-04-14 17:20,18,Garagem,16,Pres garagem
102,2019-04-14 17:26,22,Corredor,15,Pres corredor
103,2019-04-14 17:29,15,Sala,7,Assistir TV
103,2019-04-14 17:29,16,Cozinha,5,Pres cozinha
103,2019-04-14 17:29,20,Quarto 2,13,Pres quarto 2
103,2019-04-14 17:29,23,Quarto 3,14,Pres quarto 3
105,2019-04-14 17:33,17,Lavanderia,12,Pres lavanderia
106,2019-04-14 17:35,18,Garagem,3,Entrada
106,2019-04-14 17:35,18,Garagem,4,Saida
106,2019-04-14 17:35,18,Garagem,16,Pres garagem
109,2019-04-14 17:41,18,Garagem,3,Entrada
109,2019-04-14 17:41,18,Garagem,4,Saida
109,2019-04-14 17:41,18,Garagem,16,Pres garagem
111,2019-04-14 17:45,23,Quarto 3,14,Pres quarto 3
114,2019-04-14 17:52,18,Garagem,3,Entrada
114,2019-04-14 17:52,18,Garagem,4,Saida
114,2019-04-14 17:52,18,Garagem,16,Pres garagem
117,2019-04-14 17:58,15,Sala,6,Pres sala
121,2019-04-14 18:06,15,Sala,6,Pres sala
121,2019-04-14 18:06,18,Garagem,3,Entrada
121,2019-04-14 18:06,18,Garagem,4,Saida
121,2019-04-14 18:06,18,Garagem,16,Pres garagem
127,2019-04-14 18:19,16,Cozinha,5,Pres cozinha
129,2019-04-14 18:23,15,Sala,6,Pres sala
130,2019-04-14 18:25,18,Garagem,3,Entrada
130,2019-04-14 18:25,18,Garagem,4,Saida
130,2019-04-14 18:25,18,Garagem,16,Pres garagem
133,2019-04-14 18:35,15,Sala,6,Pres sala
133,2019-04-14 18:35,17,Lavanderia,12,Pres lavanderia
133,2019-04-14 18:35,18,Garagem,3,Entrada
133,2019-04-14 18:35,18,Garagem,4,Saida
133,2019-04-14 18:35,18,Garagem,16,Pres garagem
133,2019-04-14 18:35,22,Corredor,15,Pres corredor
133,2019-04-14 18:35,23,Quarto 3,14,Pres quarto 3
134,2019-04-14 18:44,15,Sala,6,Pres sala
134,2019-04-14 18:44,16,Cozinha,5,Pres cozinha
134,2019-04-14 18:44,22,Corredor,15,Pres corredor
134,2019-04-14 18:44,23,Quarto 3,14,Pres quarto 3
137,2019-04-14 18:50,16,Cozinha,5,Pres cozinha
137,2019-04-14 18:50,18,Garagem,3,Entrada
137,2019-04-14 18:50,18,Garagem,4,Saida
137,2019-04-14 18:50,18,Garagem,16,Pres garagem
137,2019-04-14 18:50,20,Quarto 2,13,Pres quarto 2
139,2019-04-14 18:57,13,Banho,9,Banho aceso
139,2019-04-14 18:57,15,Sala,6,Pres sala
139,2019-04-14 18:57,17,Lavanderia,12,Pres lavanderia
139,2019-04-14 18:57,22,Corredor,15,Pres corredor
139,2019-04-14 18:57,23,Quarto 3,14,Pres quarto 3
141,2019-04-14 19:01,16,Cozinha,5,Pres cozinha
141,2019-04-14 19:01,20,Quarto 2,13,Pres quarto 2
144,2019-04-14 19:07,17,Lavanderia,12,Pres lavanderia
144,2019-04-14 19:07,22,Corredor,15,Pres corredor
146,2019-04-14 19:11,15,Sala,6,Pres sala
146,2019-04-14 19:11,23,Quarto 3,14,Pres quarto 3
147,2019-04-14 19:13,22,Corredor,15,Pres corredor
148,2019-04-14 19:16,16,Cozinha,5,Pres cozinha
149,2019-04-14 19:18,20,Quarto 2,13,Pres quarto 2
150,2019-04-14 19:20,22,Corredor,15,Pres corredor
151,2019-04-14 19:22,18,Garagem,3,Entrada
151,2019-04-14 19:22,18,Garagem,4,Saida
151,2019-04-14 19:22,18,Garagem,16,Pres garagem
153,2019-04-14 19:26,17,Lavanderia,12,Pres lavanderia
153,2019-04-14 19:26,22,Corredor,15,Pres corredor
154,2019-04-14 19:35,16,Cozinha,5,Pres cozinha
