Id Linha Base,Timestamp,Sensor Comodo,Comodo,Id Atividade,Atividade
1,2019-05-27 0:11,13,Banho,9,Banho aceso
1,2019-05-27 0:11,15,Sala,7,Assistir TV
1,2019-05-27 0:11,16,Cozinha,5,Pres cozinha
1,2019-05-27 0:11,20,Quarto 2,13,Pres quarto 2
1,2019-05-27 0:11,23,Quarto 3,14,Pres quarto 3
2,2019-05-27 0:17,17,Lavanderia,12,Pres lavanderia
2,2019-05-27 0:17,22,Corredor,15,Pres corredor
2,2019-05-27 0:17,23,Quarto 3,14,Pres quarto 3
3,2019-05-27 0:24,15,Sala,6,Pres sala
3,2019-05-27 0:24,16,Cozinha,5,Pres cozinha
3,2019-05-27 0:24,17,Lavanderia,12,Pres lavanderia
3,2019-05-27 0:24,22,Corredor,15,Pres corredor
3,2019-05-27 0:24,23,Quarto 3,14,Pres quarto 3
5,2019-05-27 0:33,15,Sala,6,Pres sala
5,2019-05-27 0:33,16,Cozinha,5,Pres cozinha
5,2019-05-27 0:33,22,Corredor,15,Pres corredor
5,2019-05-27 0:33,23,Quarto 3,14,Pres quarto 3
6,2019-05-27 0:40,23,Quarto 3,14,Pres quarto 3
10,2019-05-27 0:53,15,Sala,7,Assistir TV
10,2019-05-27 0:53,16,Cozinha,5,Pres cozinha
10,2019-05-27 0:53,23,Quarto 3,14,Pres quarto 3
12,2019-05-27 0:59,20,Quarto 2,13,Pres quarto 2
13,2019-05-27 1:02,15,Sala,7,Assistir TV
13,2019-05-27 1:02,15,Sala,8,Indo dormir
13,2019-05-27 1:02,16,Cozinha,5,Pres cozinha
13,2019-05-27 1:02,16,Cozinha,8,Indo dormir
14,2019-05-27 1:05,20,Quarto 2,8,Indo dormir
14,2019-05-27 1:05,20,Quarto 2,13,Pres quarto 2
15,2019-05-27 1:12,19,Quarto 1,8,Indo dormir
16,2019-05-27 1:15,15,Sala,7,Assistir TV
16,2019-05-27 1:15,15,Sala,8,Indo dormir
16,2019-05-27 1:15,16,Cozinha,5,Pres cozinha
16,2019-05-27 1:15,16,Cozinha,8,Indo dormir
18,2019-05-27 1:24,19,Quarto 1,8,Indo dormir
22,2019-05-27 1:37,15,Sala,7,Assistir TV
22,2019-05-27 1:37,15,Sala,8,Indo dormir
22,2019-05-27 1:37,19,Quarto 1,8,Indo dormir
22,2019-05-27 1:37,20,Quarto 2,8,Indo dormir
22,2019-05-27 1:37,20,Quarto 2,13,Pres quarto 2
22,2019-05-27 1:37,23,Quarto 3,8,Indo dormir
22,2019-05-27 1:37,23,Quarto 3,14,Pres quarto 3
26,2019-05-27 1:53,19,Quarto 1,8,Indo dormir
26,2019-05-27 1:53,23,Quarto 3,8,Indo dormir
26,2019-05-27 1:53,23,Quarto 3,14,Pres quarto 3
27,2019-05-27 1:59,19,Quarto 1,8,Indo dormir
27,2019-05-27 1:59,23,Quarto 3,8,Indo dormir
27,2019-05-27 1:59,23,Quarto 3,14,Pres quarto 3
32,2019-05-27 2:15,23,Quarto 3,14,Pres quarto 3
37,2019-05-27 2:34,15,Sala,7,Assistir TV
37,2019-05-27 2:34,20,Quarto 2,13,Pres quarto 2
39,2019-05-27 3:00,18,Garagem,3,Entrada
39,2019-05-27 3:00,18,Garagem,4,Saida
39,2019-05-27 3:00,18,Garagem,16,Pres garagem
40,2019-05-27 3:03,18,Garagem,3,Entrada
40,2019-05-27 3:03,18,Garagem,4,Saida
40,2019-05-27 3:03,18,Garagem,16,Pres garagem
42,2019-05-27 3:09,15,Sala,6,Pres sala
42,2019-05-27 3:09,17,Lavanderia,12,Pres lavanderia
43,2019-05-27 3:12,16,Cozinha,5,Pres cozinha
44,2019-05-27 3:15,20,Quarto 2,13,Pres quarto 2
44,2019-05-27 3:15,22,Corredor,15,Pres corredor
44,2019-05-27 3:15,23,Quarto 3,14,Pres quarto 3
46,2019-05-27 3:21,23,Quarto 3,14,Pres quarto 3
47,2019-05-27 3:24,22,Corredor,15,Pres corredor
48,2019-05-27 3:27,20,Quarto 2,13,Pres quarto 2
49,2019-05-27 3:30,22,Corredor,15,Pres corredor
49,2019-05-27 3:30,23,Quarto 3,14,Pres quarto 3
51,2019-05-27 3:36,15,Sala,6,Pres sala
51,2019-05-27 3:36,16,Cozinha,5,Pres cozinha
51,2019-05-27 3:36,22,Corredor,15,Pres corredor
53,2019-05-27 3:42,20,Quarto 2,13,Pres quarto 2
53,2019-05-27 3:42,22,Corredor,15,Pres corredor
53,2019-05-27 3:42,23,Quarto 3,14,Pres quarto 3
55,2019-05-27 3:48,22,Corredor,15,Pres corredor
56,2019-05-27 3:51,15,Sala,6,Pres sala
56,2019-05-27 3:51,16,Cozinha,5,Pres cozinha
56,2019-05-27 3:51,17,Lavanderia,12,Pres lavanderia
57,2019-05-27 3:54,18,Garagem,3,Entrada
57,2019-05-27 3:54,18,Garagem,4,Saida
57,2019-05-27 3:54,18,Garagem,16,Pres garagem
60,2019-05-27 11:03,15,Sala,6,Pres sala
60,2019-05-27 11:03,16,Cozinha,5,Pres cozinha
60,2019-05-27 11:03,17,Lavanderia,12,Pres lavanderia
60,2019-05-27 11:03,22,Corredor,15,Pres corredor
60,2019-05-27 11:03,23,Quarto 3,14,Pres quarto 3
61,2019-05-27 11:06,15,Sala,6,Pres sala
61,2019-05-27 11:06,23,Quarto 3,14,Pres quarto 3
