Id Linha Base,Timestamp,Horario,Fim de Semana,Sensor Comodo,Comodo,lig_desl_luz,lig_desl_aparelho,tempo_lig_luz,tempo_lig_aparelho,Id Atividade,Atividade
1,2019-05-27 0:11,00:11,False,16,Cozinha,0,0,1.0,0.0,5,Pres cozinha
1,2019-05-27 0:11,00:11,False,15,Sala,0,0,1.0,1.0,7,Assistir TV
1,2019-05-27 0:11,00:11,False,13,Banho,0,0,1.0,0,9,Banho aceso
1,2019-05-27 0:11,00:11,False,20,Quarto 2,0,0,0.0,0.0,13,Pres quarto 2
1,2019-05-27 0:11,00:11,False,23,Quarto 3,1,0,0.15384615384615385,0.0,14,Pres quarto 3
2,2019-05-27 0:17,00:17,False,17,Lavanderia,1,0,0.5,0.0,12,Pres lavanderia
2,2019-05-27 0:17,00:17,False,23,Quarto 3,1,0,0.08333333333333333,0.0,14,Pres quarto 3
2,2019-05-27 0:17,00:17,False,22,Corredor,0,0,0.0,0,15,Pres corredor
3,2019-05-27 0:24,00:24,False,16,Cozinha,0,0,1.0,0.0,5,Pres cozinha
3,2019-05-27 0:24,00:24,False,15,Sala,0,0,1.0,0.0,6,Pres sala
3,2019-05-27 0:24,00:24,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
3,2019-05-27 0:24,00:24,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
3,2019-05-27 0:24,00:24,False,22,Corredor,0,0,0.0,0,15,Pres corredor
5,2019-05-27 0:33,00:33,False,16,Cozinha,0,0,1.0,0.0,5,Pres cozinha
5,2019-05-27 0:33,00:33,False,15,Sala,0,0,1.0,0.0,6,Pres sala
5,2019-05-27 0:33,00:33,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
5,2019-05-27 0:33,00:33,False,22,Corredor,0,0,0.0,0,15,Pres corredor
6,2019-05-27 0:40,00:40,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
10,2019-05-27 0:53,00:53,False,16,Cozinha,0,0,1.0,0.0,5,Pres cozinha
