Grupo,Linha Apr,Último mtx_casa
3,0,4
3,0,221
3,0,288
3,0,300
3,0,305
3,0,310
3,0,327
3,0,334
3,0,341
3,0,348
3,0,361
3,0,365
3,0,368
3,0,374
3,0,379
3,0,385
3,0,403
3,0,528
3,0,537
3,0,560
3,0,577
3,0,622
3,0,689
3,0,695
3,0,756
3,0,787
3,0,804
3,0,838
3,0,845
3,0,852
3,0,859
3,0,865
3,0,868
3,0,872
3,0,899
3,0,942
3,0,949
3,0,966
3,0,972
3,0,1017
3,0,1060
3,0,1110
3,0,1125
3,0,1134
3,0,1138
3,0,1342
3,0,1353
3,0,1380
3,0,1386
3,0,1404
3,0,1409
3,0,1413
3,0,1419
3,0,1426
3,0,1430
3,0,1441
3,0,1446
3,0,1453
3,0,1459
3,0,1466
3,0,1471
3,0,1502
3,0,1524
3,0,1668
3,0,1676
3,0,1681
3,0,1686
3,0,1706
3,0,1826
3,0,1877
3,0,1882
3,0,1903
3,0,1910
3,0,1915
3,0,1921
3,0,1928
3,0,1977
3,0,1989
3,0,2069
3,0,2078
3,0,2104
3,0,2110
3,0,2116
3,0,2122
3,0,2273
3,0,2364
3,0,2381
3,0,2410
3,0,2469
3,0,2651
3,0,2658
3,0,2662
3,0,2665
3,0,2670
3,0,2930
3,0,3007
3,0,3012
3,0,3017
3,0,3076
3,0,3324
3,0,3813
3,0,4556
3,0,6178
3,0,6349
3,0,6361
3,0,6370
3,0,6377
3,0,6483
3,0,6978
3,0,6984
3,0,7026
3,0,7032
3,0,7036
3,0,7055
3,0,7063
3,0,7091
3,0,7099
3,0,7111
3,0,7120
3,0,7128
3,0,7139
3,0,7186
3,0,7193
3,0,7196
3,0,7202
3,0,7241
3,0,7251
3,0,7264
3,0,7369
3,0,7412
3,0,7420
3,0,7428
3,0,7513
3,0,7519
3,0,7540
3,0,7558
3,0,7575
3,0,7580
3,0,7609
3,0,7614
3,0,7626
3,0,7634
3,0,7640
3,0,7674
3,0,7681
3,0,7687
3,0,7693
3,0,7740
3,0,7744
3,0,7751
3,0,7763
3,0,7767
3,0,7790
3,0,7804
3,0,7813
3,0,7835
3,0,7841
3,0,7847
3,0,7916
3,0,7927
3,0,7936
3,0,7942
3,0,7948
3,0,7954
3,0,7958
3,0,7962
3,0,7967
3,0,7974
3,0,7984
3,0,7992
3,0,7998
3,0,8002
3,0,8009
3,0,8183
3,0,8189
