Sensor,Timestamp
pres_sala,"""2019-04-14 13:32"""
pres_cozinha,"""2019-04-14 13:32"""
pres_sala,"""2019-04-14 13:34"""
pres_quarto2,"""2019-04-14 13:34"""
pres_quarto2,"""2019-04-14 13:36"""
pres_cozinha,"""2019-04-14 13:36"""
pres_lavanderia,"""2019-04-14 13:36"""
pres_sala,"""2019-04-14 13:46"""
pres_cozinha,"""2019-04-14 13:46"""
pres_sala,"""2019-04-14 13:48"""
pres_cozinha,"""2019-04-14 13:48"""
pres_sala,"""2019-04-14 14:03"""
pres_cozinha,"""2019-04-14 14:03"""
pres_garagem,"""2019-04-14 14:03"""
pres_sala,"""2019-04-14 14:05"""
pres_cozinha,"""2019-04-14 14:05"""
pres_sala,"""2019-04-14 14:07"""
pres_cozinha,"""2019-04-14 14:07"""
pres_sala,"""2019-04-14 14:09"""
pres_cozinha,"""2019-04-14 14:09"""
pres_sala,"""2019-04-14 14:11"""
pres_cozinha,"""2019-04-14 14:11"""
pres_sala,"""2019-04-14 14:13"""
pres_cozinha,"""2019-04-14 14:13"""
pres_sala,"""2019-04-14 14:15"""
pres_cozinha,"""2019-04-14 14:15"""
pres_garagem,"""2019-04-14 14:15"""
pres_sala,"""2019-04-14 14:17"""
pres_sala,"""2019-04-14 14:19"""
pres_cozinha,"""2019-04-14 14:19"""
pres_garagem,"""2019-04-14 14:19"""
pres_sala,"""2019-04-14 14:21"""
pres_cozinha,"""2019-04-14 14:21"""
pres_sala,"""2019-04-14 14:24"""
pres_cozinha,"""2019-04-14 14:24"""
pres_sala,"""2019-04-14 14:26"""
pres_cozinha,"""2019-04-14 14:26"""
pres_garagem,"""2019-04-14 14:26"""
pres_sala,"""2019-04-14 14:28"""
pres_garagem,"""2019-04-14 14:28"""
pres_sala,"""2019-04-14 14:30"""
pres_sala,"""2019-04-14 14:32"""
pres_sala,"""2019-04-14 14:34"""
pres_sala,"""2019-04-14 14:38"""
pres_garagem,"""2019-04-14 14:38"""
pres_sala,"""2019-04-14 14:40"""
pres_cozinha,"""2019-04-14 14:40"""
pres_lavanderia,"""2019-04-14 14:40"""
pres_garagem,"""2019-04-14 14:40"""
pres_sala,"""2019-04-14 14:42"""
pres_cozinha,"""2019-04-14 14:42"""
pres_lavanderia,"""2019-04-14 14:42"""
pres_garagem,"""2019-04-14 14:42"""
pres_sala,"""2019-04-14 14:44"""
pres_cozinha,"""2019-04-14 14:44"""
pres_lavanderia,"""2019-04-14 14:44"""
pres_garagem,"""2019-04-14 14:44"""
pres_sala,"""2019-04-14 14:46"""
pres_cozinha,"""2019-04-14 14:46"""
pres_lavanderia,"""2019-04-14 14:46"""
luz_dispensa ON,"""2019-04-14 14:49"""
pres_sala,"""2019-04-14 14:49"""
pres_cozinha,"""2019-04-14 14:49"""
pres_lavanderia,"""2019-04-14 14:49"""
pres_sala,"""2019-04-14 14:51"""
pres_cozinha,"""2019-04-14 14:51"""
pres_lavanderia,"""2019-04-14 14:51"""
pres_corredor,"""2019-04-14 14:51"""
pres_quarto3,"""2019-04-14 14:51"""
pres_sala,"""2019-04-14 14:53"""
pres_cozinha,"""2019-04-14 14:53"""
pres_lavanderia,"""2019-04-14 14:53"""
pres_garagem,"""2019-04-14 14:53"""
pres_corredor,"""2019-04-14 14:53"""
pres_quarto3,"""2019-04-14 14:53"""
luz_dispensa OFF,"""2019-04-14 14:55"""
pres_cozinha,"""2019-04-14 14:55"""
pres_lavanderia,"""2019-04-14 14:55"""
pres_quarto3,"""2019-04-14 14:55"""
tv_cozinha ON,"""2019-04-14 14:55"""
pres_sala,"""2019-04-14 14:57"""
pres_cozinha,"""2019-04-14 14:57"""
pres_lavanderia,"""2019-04-14 14:57"""
pres_quarto3,"""2019-04-14 14:57"""
pres_sala,"""2019-04-14 14:59"""
pres_cozinha,"""2019-04-14 14:59"""
pres_lavanderia,"""2019-04-14 14:59"""
pres_quarto3,"""2019-04-14 14:59"""
pres_sala,"""2019-04-14 15:01"""
pres_cozinha,"""2019-04-14 15:01"""
pres_lavanderia,"""2019-04-14 15:01"""
pres_sala,"""2019-04-14 15:03"""
pres_cozinha,"""2019-04-14 15:03"""
pres_lavanderia,"""2019-04-14 15:03"""
pres_sala,"""2019-04-14 15:05"""
pres_cozinha,"""2019-04-14 15:05"""
pres_sala,"""2019-04-14 15:08"""
pres_cozinha,"""2019-04-14 15:08"""
pres_sala,"""2019-04-14 15:10"""
pres_cozinha,"""2019-04-14 15:10"""
pres_sala,"""2019-04-14 15:12"""
pres_cozinha,"""2019-04-14 15:12"""
pres_cozinha,"""2019-04-14 15:14"""
pres_sala,"""2019-04-14 15:16"""
pres_cozinha,"""2019-04-14 15:16"""
pres_lavanderia,"""2019-04-14 15:16"""
pres_corredor,"""2019-04-14 15:16"""
pres_quarto3,"""2019-04-14 15:16"""
pres_sala,"""2019-04-14 15:18"""
