idhome,timestamp,luz_sala,luz_cozinha,luz_lavanderia,luz_escada,luz_garagem,luz_dispensa,luz_quarto1,luz_quarto2,luz_aquario,luz_cobertura,luz_corredor,luz_banho,luz_quarto3,pres_sala,pres_cozinha,pres_lavanderia,pres_garagem,pres_quarto1,pres_quarto2,pres_cobertura,pres_corredor,pres_quarto3,vent_quarto1,vent_quarto2,vent_quarto3,tv_sala,tv_cozinha,lavanderia_som
12978,2019-05-27 0:11,1,1,0,0,0,0,0,0,0,0,0,1,1,153,0,3258,3758,4,25,3841,199,19,0,0,0,1,0,0
12979,2019-05-27 0:17,1,1,1,0,0,0,0,0,0,0,0,0,1,221,219,0,4134,30,395,171,130,12,0,0,0,0,0,0
12980,2019-05-27 0:24,1,1,0,0,0,0,0,0,0,0,0,1,0,115,90,124,4496,22,764,520,44,3,0,0,0,0,0,0
12981,2019-05-27 0:27,1,1,0,0,0,0,0,0,0,0,0,1,0,307,277,302,4687,0,953,699,234,22,0,0,0,0,0,0
12982,2019-05-27 0:33,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,650,5060,0,1324,1052,54,10,0,0,0,0,0,0
12983,2019-05-27 0:40,1,1,0,0,0,0,0,0,0,0,0,0,0,341,335,1003,5442,4,197,1409,438,47,0,0,0,0,0,0
12984,2019-05-27 0:43,1,1,0,0,0,0,0,0,0,0,0,0,0,530,520,1178,5633,0,384,1585,628,66,0,0,0,0,0,0
12985,2019-05-27 0:46,1,1,0,0,0,0,0,0,0,0,0,0,0,721,707,1353,5823,8,571,1762,819,84,0,0,0,0,0,0
12986,2019-05-27 0:49,1,1,0,0,0,0,0,0,0,0,0,0,0,913,894,1530,6014,0,758,1939,1010,103,0,0,0,0,0,0
12987,2019-05-27 0:53,1,1,0,0,0,0,0,0,0,0,0,0,0,54,59,1704,6202,0,943,2116,1201,121,0,0,0,1,0,0
12988,2019-05-27 0:56,1,1,0,0,0,0,0,0,0,0,0,0,0,245,246,1881,6393,19,1130,2291,1388,140,0,0,0,1,0,0
12989,2019-05-27 0:59,1,1,0,0,0,0,0,0,0,0,0,0,0,432,426,2054,6579,10,143,2466,1576,158,0,0,0,1,0,0
12990,2019-05-27 1:02,1,1,0,0,0,0,0,0,0,0,0,0,0,57,111,2228,6768,10,328,2640,1765,176,0,0,0,1,0,0
12991,2019-05-27 1:05,1,1,0,0,0,0,0,0,0,0,0,0,0,245,295,2403,6958,11,125,2815,1954,194,0,0,0,1,0,0
12992,2019-05-27 1:12,1,1,0,0,0,0,0,0,0,0,0,0,0,627,666,2754,7337,22,497,3170,2335,232,0,0,0,1,0,0
12993,2019-05-27 1:15,1,1,0,0,0,0,0,0,0,0,0,0,0,92,88,2928,7525,3,680,3345,2522,250,0,0,0,1,0,0
12994,2019-05-27 1:18,1,1,0,0,0,0,0,0,0,0,0,0,0,281,272,3103,7711,29,864,3519,2709,268,0,0,0,1,0,0
12995,2019-05-27 1:24,1,1,0,0,0,0,0,0,0,0,0,0,0,653,633,3447,8085,6,1230,3865,3084,305,0,0,0,1,0,0
12996,2019-05-27 1:27,1,1,0,0,0,0,0,0,0,0,0,0,0,842,816,3621,8272,0,1417,4040,3275,323,0,0,0,1,0,0
12997,2019-05-27 1:31,1,1,0,0,0,0,0,0,0,0,0,0,0,1033,1001,3799,8464,1,1605,4219,3467,342,0,0,0,1,0,0
12998,2019-05-27 1:34,1,1,0,0,0,0,0,0,0,0,0,0,0,1224,1186,3973,8653,0,1790,4394,3655,360,0,0,0,1,0,0
12999,2019-05-27 1:37,1,0,0,0,0,0,0,0,0,0,0,0,0,161,1369,4147,8840,18,99,4570,3845,12,0,0,0,1,0,0
13000,2019-05-27 1:40,1,0,0,0,0,0,0,0,0,0,0,0,0,352,1554,4323,9031,2,139,4747,4035,9,0,0,0,1,0,0
13001,2019-05-27 1:43,1,0,0,0,0,0,0,0,0,0,0,0,0,541,1740,4498,9219,3,327,4924,4225,28,0,0,0,1,0,0
13002,2019-05-27 1:46,1,0,0,0,0,0,0,0,0,0,0,0,0,732,1924,4673,9409,14,514,5101,4415,47,0,0,0,1,0,0
13003,2019-05-27 1:53,1,0,0,0,0,0,0,0,0,0,0,0,0,251,2292,5023,9785,5,884,5453,4793,18,0,0,0,1,0,0
13004,2019-05-27 1:59,1,0,0,0,0,0,0,0,0,0,0,0,0,629,2659,5372,10163,0,1254,5805,5173,54,0,0,0,1,0,0
13005,2019-05-27 2:02,1,0,0,0,0,0,0,0,0,0,0,0,0,820,2843,5548,10354,6,1441,5981,5363,73,0,0,0,1,0,0
13006,2019-05-27 2:05,1,0,0,0,0,0,0,0,0,0,0,0,0,1009,3024,5722,10542,5,1625,6156,5551,91,0,0,0,1,0,0
13007,2019-05-27 2:08,1,0,0,0,0,0,0,0,0,0,0,0,0,1198,3206,5722,10542,5,1625,6156,5551,91,0,0,0,1,0,0
13008,2019-05-27 2:12,1,0,0,0,0,0,0,0,0,0,0,0,0,1371,3373,6054,10901,8,1979,6488,5914,126,0,0,0,1,0,0
13009,2019-05-27 2:15,1,0,0,0,0,0,0,0,0,0,0,0,0,1561,3557,6229,11090,0,2165,6661,6104,145,0,0,0,1,0,0
13010,2019-05-27 2:18,1,0,0,0,0,0,0,0,0,0,0,0,0,1751,3741,6404,11278,0,2351,6835,6294,163,0,0,0,1,0,0
13011,2019-05-27 2:24,1,0,0,0,0,0,0,0,0,0,0,0,0,2131,4111,6756,11656,0,2719,7182,6670,200,0,0,0,1,0,0
13012,2019-05-27 2:27,1,0,0,0,0,0,0,0,0,0,0,0,0,2318,4292,6929,11839,7,2904,7357,6858,218,0,0,0,1,0,0
13013,2019-05-27 2:31,1,0,0,0,0,0,0,0,0,0,0,0,0,2508,4478,7105,12030,0,3090,7533,7048,237,0,0,0,1,0,0
13014,2019-05-27 2:34,1,0,0,0,0,0,0,0,0,0,0,0,0,39,4660,7278,12216,0,59,7707,7236,255,0,0,0,1,0,0
13015,2019-05-27 2:37,1,0,0,0,0,0,0,0,0,0,0,0,0,227,4843,7452,12403,6,242,7880,7424,274,0,0,0,1,0,0
13016,2019-05-27 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,6223,8832,50,20,1622,9260,8804,1654,0,0,0,0,0,0
